14/05,19:52:36,533291,152616,0,504
14/05,19:47:25,533291,152616,0,248
14/05,19:47:15,533161,152630,1,448
14/05,19:46:35,533167,152598,1,736
14/05,19:45:55,533144,152627,2,216
14/05,19:45:45,533091,152543,2,232
14/05,19:45:25,533103,152560,1,288
14/05,19:45:15,533073,152549,0,336
14/05,19:45:05,533101,152560,1,240
14/05,19:40:25,533068,152561,3,56
14/05,19:34:05,533068,152561,3,56
14/05,18:24:44,533067,152561,3,48
14/05,18:17:45,533067,152561,3,48
14/05,18:17:44,533067,152561,3,48
14/05,18:11:33,533067,152559,3,56
14/05,17:55:42,533067,152560,3,40
14/05,17:08:01,533067,152557,3,56
14/05,17:02:21,533067,152557,3,56
14/05,14:10:13,533068,152561,3,64
14/05,14:04:40,533068,152561,3,48
14/05,14:04:33,533068,152561,3,48
14/05,13:53:33,533182,152499,2,24
14/05,13:47:13,533182,152499,2,32
14/05,13:03:51,533068,152562,3,56
14/05,12:58:25,533068,152562,3,56
14/05,12:58:21,533068,152562,3,56
14/05,12:47:21,532862,152464,1,80
14/05,12:41:50,532863,152463,1,64
14/05,12:10:39,532846,152460,1,72
14/05,12:04:39,532841,152466,1,56
14/05,12:04:09,532833,152449,1,80
14/05,12:03:29,532840,152463,1,64
14/05,12:03:09,532833,152449,1,88
14/05,12:02:29,532847,152466,1,48
14/05,12:00:59,532840,152454,1,56
14/05,12:00:49,532831,152449,1,64
14/05,12:00:19,532840,152460,1,80
14/05,11:57:18,532851,152462,1,48
14/05,11:56:58,532832,152467,1,40
14/05,11:56:38,532842,152471,1,48
14/05,11:54:39,532859,152469,1,40
14/05,11:51:18,533047,152549,2,112
14/05,11:51:14,533078,152550,3,152
14/05,11:50:58,533072,152571,3,104
14/05,11:38:27,533070,152551,3,144
14/05,11:23:17,533070,152551,3,144
14/05,11:18:57,533067,152563,3,40
14/05,11:18:56,533067,152563,3,40
14/05,10:45:35,533068,152564,3,48
14/05,10:40:07,533068,152564,3,48
14/05,10:40:05,533068,152564,3,48
14/05,10:38:05,533475,152505,1,160
14/05,10:31:35,533475,152505,1,160
14/05,10:31:07,533472,152499,1,152
14/05,10:30:56,533469,152499,1,160
14/05,10:30:45,533462,152492,1,152
14/05,10:30:36,533471,152523,1,208
14/05,10:30:26,533471,152523,1,120
14/05,09:34:13,533471,152489,1,232
14/05,09:33:18,533471,152488,1,152
14/05,08:40:32,533469,152503,1,216
14/05,08:35:22,533469,152503,1,216
14/05,08:35:12,533436,152522,0,240
14/05,08:34:12,533470,152495,1,200
14/05,08:33:52,533462,152516,1,136
14/05,08:33:42,533421,152513,1,176
14/05,08:33:32,533385,152509,1,64
14/05,08:33:31,533385,152509,1,64
14/05,08:33:22,533354,152494,1,72
14/05,08:32:52,533326,152500,1,72
14/05,08:32:12,533336,152520,1,56
14/05,08:31:52,533343,152507,1,120
14/05,08:31:42,533358,152499,1,80
14/05,08:31:39,533358,152499,1,80
14/05,08:31:32,533398,152511,1,96
14/05,08:31:12,533445,152506,1,152
